id,role,name,team,quotation
7020,D,Salah-Eddine,Roma,4
7012,D,Provstgaard,Lazio,5
6965,D,Lovik,Parma,2
6900,D,Rui Modesto,Udinese,1
6537,D,Goglichidze,Udinese,2
6231,D,Azzi,Cremonese,3
6066,D,Posch,Como,9
5994,D,Ebosse,Torino,2
5718,D,Viti,Fiorentina,2
5498,D,Casale,Bologna,2
5353,D,Balogh,Parma,3
4982,D,Erlic,Bologna,3
2745,D,Calabresi,Pisa,4
2525,D,Darmian,Inter,3
7345,C,Przyborek,Lazio,1
7165,C,Liteta,Cagliari,1
7150,C,Vural,Pisa,2
6212,C,Zarraga,Udinese,2
5824,C,Pafundi,Udinese,1
5457,C,Maleh,Cremonese,4
5286,C,Akpa Akpro,Verona,2
4911,C,Douglas Luiz,Juventus,3
801,C,Gagliardini,Verona,8
7240,D,Siebert,Lecce,3
7222,D,Cham,Verona,2
418,D,Goldaniga,Como,1
4957,P,Montipò,Verona,10
7027,A,Azon,Como,1
6628,A,Taremi,Inter,4
6227,A,Okafor,Milan,4
6213,A,Brenner,Udinese,3
2012,A,Milik,Juventus,1
7135,C,Stanciu,Genoa,1
5863,C,Castagnetti,Cremonese,3
4677,C,Cornet,Genoa,2
4662,C,Weah,Juventus,7
2842,C,Zanimacchia,Cremonese,5
7352,D,Edmundsson,Verona,4
7336,D,Tchoca,Torino,2
7271,D,Odogu,Milan,1
7130,D,Folino,Cremonese,8
6985,D,Candè,Sassuolo,2
6870,D,Faye,Cremonese,2
6821,D,Hainaut,Parma,2
6533,D,Giannetti L.,Udinese,3
6411,D,Mateus Lusuardi,Pisa,2
6351,D,Lamptey,Fiorentina,1
6230,D,Dossena,Cagliari,1
6189,D,Missori,Sassuolo,2
6041,D,Schuurs,Torino,1
4495,D,Kumbulla,Roma,2
327,D,Patric,Lazio,2
252,D,Biraghi,Torino,2
2722,P,Ravaglia F.,Bologna,9
6827,A,Njie,Torino,5
5845,A,Alvarez A.,Sassuolo,2
6722,C,Gronbaek,Genoa,2
6538,C,Onana J.,Genoa,2
6219,C,Boloca,Sassuolo,2
5788,C,Sabiri,Fiorentina,2
7196,D,Denoon,Pisa,1
7140,D,Coppola F.,Pisa,2
7136,D,Kouassi,Lecce,1
6992,D,Oyegoke,Verona,1
6944,D,Jack,Como,2
6925,D,Palma,Udinese,2
6803,D,Rouhi,Juventus,1
6665,D,Coulibaly W.,Sassuolo,2
6149,D,Carboni F.,Parma,1
5406,D,Di Pardo,Cagliari,2
140,D,Hysaj,Lazio,1
7134,A,Nasti,Cremonese,1
6635,A,Pizarro,Udinese,1
5515,A,Okereke,Cremonese,1
5512,A,De Luca,Cremonese,3
247,A,Pavoletti,Cagliari,2
6676,C,Engelhardt,Como,2
5857,C,Pickel,Cremonese,2
2274,C,Valoti,Cremonese,1
7353,D,Pedro Felipe,Sassuolo,1
7156,D,Pieragnolo,Sassuolo,1
7141,D,Rus,Pisa,2
6883,D,Jean,Lecce,1
6431,D,Paz Y.,Sassuolo,1
6245,D,Vogliacco,Genoa,3
5899,D,Gigot,Lazio,1
5860,D,Ravanelli,Cremonese,2
5481,D,Mazzocchi,Napoli,2
7152,A,Bonfanti N.,Pisa,1
7319,C,Fofana Sa.,Lecce,1
7177,C,Santiago,Verona,1
7147,C,Hojholt,Pisa,1
6645,C,Marchwinski,Lecce,1
5516,C,Bianco,Fiorentina,1
7170,D,Mbambi,Pisa,1
7164,D,Perez M.,Lecce,1
7142,D,Esteves T.,Pisa,1
6826,D,Dembelè A.,Torino,1
6551,D,Ilic M.,Bologna,1
6464,D,Wieteska,Cagliari,1
5891,D,Quagliata,Cremonese,1
7342,A,Elphege,Parma,1
7338,A,Albarracin,Cagliari,1
7317,A,Trepy,Cagliari,2
7309,A,Isaac,Verona,1
7277,A,Arena A.,Roma,1
7272,A,Gueye,Udinese,1
7264,A,Ambrosino,Napoli,2
7262,A,Balentien,Milan,1
7171,A,Buffon L.,Pisa,1
7159,A,Skjellerup,Sassuolo,1
7158,A,Moro L.,Sassuolo,1
6657,A,Gabrielloni,Como,1
2762,A,Kouamè,Fiorentina,1
