Solo su www.fantacalcio.it i voti ufficiali per la tua lega;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;
Atalanta;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6217;D;Bisseck;6;0;0;0;0;0;0;0;0;0
152;C;Zielinski;6.5;0;0;0;0;0;0;0;0;0
1870;C;Barella;5.5;0;0;0;0;0;0;0;0;0
2529;C;Mkhitaryan;6;0;0;0;0;0;0;0;0;0
2848;C;Frattesi;6*;0;0;0;0;0;0;0;0;0
5301;C;Luis Henrique;6;0;0;0;0;0;0;0;0;0
7070;C;Sucic P.;6*;0;0;0;0;0;0;0;0;0
2764;A;Martinez L.;7;1;0;0;0;0;0;0;0;0
6669;A;Bonny;6;0;0;0;0;0;0;0;0;0
7071;A;Esposito F.P.;6.5;0;0;0;0;0;0;0;0;1
7043;ALL;Chivu;7;0;0;0;0;0;0;0;0;0
Juventus;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
218;P;Perin;6;0;1;0;0;0;0;0;0;0
2788;D;Bremer;6;0;0;0;0;0;0;0;0;0
4976;D;Kalulu;5.5;0;0;0;0;0;0;0;0;0
5520;D;Cambiaso;5.5;0;0;0;0;0;0;0;0;0
6766;D;Kelly L.;6;0;0;0;0;0;0;0;0;0
827;C;Locatelli;6;0;0;0;0;0;0;0;0;0
4973;C;McKennie;5;0;0;0;0;0;0;0;0;0
5562;C;Thuram K.;6*;0;0;0;0;0;0;0;0;0
5685;C;Koopmeiners;5.5;0;0;0;0;0;0;0;0;0
5761;C;Zhegrova;5.5;0;0;0;0;0;0;0;0;0
5813;C;Miretti;5.5;0;0;0;0;0;0;0;0;0
6677;C;Adzic;6*;0;0;0;0;0;0;0;0;0
6884;C;Conceicao;6*;0;0;0;0;0;0;0;0;0
5544;A;David;5;0;0;0;0;0;0;0;0;0
6314;A;Openda;5.5;0;0;0;0;0;0;0;0;0
6434;A;Yildiz;6.5;0;0;0;0;0;0;1;0;0
782;ALL;Spalletti;5.5;0;0;0;0;0;0;0;0;0
Lazio;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2814;P;Provedel;7;0;3;1;0;0;0;0;0;0
460;D;Romagnoli;5;0;0;0;0;0;0;1;0;0
2188;D;Marusic;4.5;0;0;0;0;0;0;0;0;0
2263;D;Lazzari;5.5;0;0;0;0;0;0;0;0;0
2728;D;Pellegrini Lu.;5;0;0;0;0;0;0;1;0;0
5833;D;Gila;5;0;0;0;0;0;0;0;0;0
333;C;Cataldi;5.5;0;0;0;0;0;0;1;0;0
632;C;Zaccagni;5;0;0;0;0;0;0;1;0;0
4459;C;Rovella;5.5;0;0;0;0;0;0;1;0;0
6191;C;Belahyane;5.5;0;0;0;0;0;0;0;0;0
6398;C;Isaksen;5.5;0;0;0;0;0;0;0;0;0
6629;C;Dele-Bashiru;6*;0;0;0;0;0;0;0;0;0
7314;C;Taylor K.;4.5;0;0;0;0;0;0;0;0;0
5500;A;Cancellieri;5;0;0;0;0;0;0;0;0;0
6556;A;Noslin;5.5;0;0;0;0;0;0;0;0;0
7313;A;Ratkov;5;0;0;0;0;0;0;0;0;0
688;ALL;Sarri;4.5;0;0;0;0;0;0;0;0;0
Lecce;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2134;P;Falcone;7;0;1;0;0;0;0;0;0;0
4502;D;Gallo;6;0;0;0;0;0;0;0;0;0
6989;D;Tiago Gabriel;6.5;0;0;0;0;0;0;0;0;0
7182;D;Ndaba;6;0;0;0;0;0;0;0;0;0
7240;D;Siebert;6;0;0;0;0;0;0;0;0;0
2839;C;Sottil;6;0;0;0;0;0;0;0;0;0
5457;C;Maleh;6*;0;0;0;0;0;0;0;0;0
5504;C;Coulibaly L.;6.5;0;0;0;0;0;0;0;0;0
6394;C;Ramadani;6;0;0;0;0;0;0;1;0;0
6549;C;Pierotti;6.5;0;0;0;0;0;0;0;0;0
6634;C;Tete Morente;5.5;0;0;0;0;0;0;0;0;0
7318;C;Gandelman;6;0;0;0;0;0;0;0;0;0
6001;A;Banda;5.5;0;0;0;0;0;0;0;0;0
7001;A;N'Dri;6*;0;0;0;0;0;0;0;0;0
7252;A;Stulic;5.5;0;0;0;0;0;0;0;0;0
691;ALL;Di Francesco;5.5;0;0;0;0;0;0;0;0;0
Milan;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4312;P;Maignan;6;0;0;0;0;0;0;0;0;0
4401;D;Gabbia;6.5;0;0;0;0;0;0;0;0;0
4751;D;Tomori;6;0;0;0;0;0;0;0;0;0
5273;D;Estupinan;6;0;0;0;0;0;0;0;0;0
5739;D;De Winter;6;0;0;0;0;0;0;1;0;0
7211;D;Athekame;6*;0;0;0;0;0;0;0;0;0
2379;C;Rabiot;6.5;0;0;0;0;0;0;0;0;0
2423;C;Pulisic;5.5;0;0;0;0;0;0;0;0;0
2606;C;Modric;6*;0;0;0;0;0;0;0;0;0
4199;C;Loftus-Cheek;5.5;0;0;0;0;0;0;0;0;0
4892;C;Saelemaekers;7;0;0;0;0;0;0;0;0;1
5453;C;Ricci S.;6;0;0;0;0;0;0;0;0;0
7203;C;Jashari;6.5;0;0;0;0;0;0;0;0;0
2678;A;Fullkrug;7;1;0;0;0;0;0;0;0;0
4510;A;Leao;6;0;0;0;0;0;0;0;0;0
4728;A;Nkunku;6*;0;0;0;0;0;0;0;0;0
686;ALL;Allegri;6.5;0;0;0;0;0;0;0;0;0
Napoli;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
2170;P;Milinkovic-Savic V.;6.5;0;0;0;0;0;0;0;0;0
256;D;Juan Jesus;6.5;0;0;0;0;0;0;0;0;0
1852;D;Spinazzola;6.5;0;0;0;0;0;0;0;0;0
2724;D;Buongiorno;6;0;0;0;0;0;0;0;0;0
2816;D;Di Lorenzo;6.5;0;0;0;0;0;0;0;0;0
4409;D;Rrahmani;6.5;0;0;0;0;0;0;0;0;0
5481;D;Mazzocchi;6;0;0;0;0;0;0;0;0;0
6202;D;Beukema;6;0;0;0;0;0;0;0;0;0
536;C;Politano;5.5;0;0;0;0;0;0;0;0;0
4287;C;Lobotka;7;1;0;0;0;0;0;0;0;0
4479;C;Elmas;6.5;0;0;0;0;0;0;0;0;0
4777;C;McTominay;6;0;0;0;0;0;0;0;0;0
7223;C;Vergara;6;0;0;0;0;0;0;0;0;0
6052;A;Hojlund;5.5;0;0;0;0;0;0;0;0;0
7120;A;Lang;5.5;0;0;0;0;0;0;0;0;0
4416;ALL;Conte;6.5;0;0;0;0;0;0;0;0;0
Parma;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6662;P;Corvi;7;0;0;0;0;0;0;0;0;0
5307;D;Valenti;6.5;0;0;0;0;0;0;1;0;0
5862;D;Valeri;6.5;0;0;0;0;0;0;0;0;0
6663;D;Circati;6.5;0;0;0;0;0;0;1;0;0
6664;D;Delprato;6;0;0;0;0;0;0;0;0;0
7255;D;Britschgi;6;0;0;0;0;0;0;0;0;0
5290;C;Estevez;5.5;0;0;0;0;0;0;0;0;0
6218;C;Oristanio;5.5;0;0;0;0;0;0;0;0;0
6666;C;Bernabè;6;0;0;0;0;0;0;0;0;0
6898;C;Keita M.;6.5;0;0;0;0;0;0;0;0;0
6984;C;Ondrejka;5;0;0;0;0;0;0;1;0;0
7209;C;Sorensen O.;6*;0;0;0;0;0;0;0;0;0
7276;C;Cremaschi;6*;0;0;0;0;0;0;0;0;0
5471;A;Djuric;6*;0;0;0;0;0;0;0;0;0
7023;A;Pellegrino M.;5.5;0;0;0;0;0;0;0;0;0
7065;ALL;Cuesta;6.5;0;0;0;0;0;0;0;0;0
Pisa;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
574;P;Scuffet;7;0;1;0;0;0;0;0;0;0
2745;D;Calabresi;6.5;0;0;0;0;0;0;0;0;0
7139;D;Canestrelli;6;0;0;0;0;0;0;0;0;0
7140;D;Coppola F.;6;0;0;0;0;0;0;1;0;0
7143;D;Angori;5.5;0;0;0;0;0;0;0;0;0
7325;D;Bozhinov;6*;0;0;0;0;0;0;0;0;0
2334;C;Leris;6.5;0;0;0;0;0;0;0;0;1
5318;C;Tramoni M.;6;0;0;0;0;0;0;0;0;0
5784;C;Aebischer;6.5;0;0;0;0;0;0;0;0;0
7145;C;Piccinini G.;6.5;0;0;0;0;0;0;0;0;0
7146;C;Tourè I.;6.5;0;0;0;0;0;0;0;0;0
7149;C;Marin M.;6.5;0;0;0;0;0;0;0;0;0
5455;A;Moreo;6.5;0;0;0;0;0;0;0;0;0
6836;A;Meister;5.5;0;0;0;0;0;0;0;0;0
7316;A;Durosinmi;7;1;0;0;0;0;0;0;0;0
698;ALL;Gilardino;7;0;0;0;0;0;0;0;0;0
Roma;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
5841;P;Svilar;6;0;0;0;0;0;0;0;0;0
2296;D;Mancini;7;0;0;0;0;0;0;1;0;0
4317;D;N'Dicka;7;0;0;0;0;0;0;0;0;0
4807;D;Hermoso;6;0;0;0;0;0;0;0;0;0
5168;D;Tsimikas;6;0;0;0;0;0;0;0;0;0
6631;D;Ghilardi;6;0;0;0;0;0;0;0;0;0
6986;D;Rensch;6;0;0;0;0;0;0;0;0;1
7181;D;Wesley;6.5;0;0;0;0;0;0;0;0;0
530;C;Pellegrini Lo.;5.5;0;0;0;0;0;0;0;0;0
779;C;Cristante;6.5;0;0;0;0;0;0;0;0;0
5589;C;Konè M.;6.5;0;0;0;0;0;0;0;0;0
6190;C;Pisilli;6;0;0;0;0;0;0;0;0;0
309;A;Dybala;7.5;1;0;0;0;0;0;0;0;1
5585;A;Malen;7.5;1;0;0;0;0;0;0;0;0
5734;A;Soulè;6;0;0;0;0;0;0;0;0;0
6981;A;Vaz;5.5;0;0;0;0;0;0;0;0;0
684;ALL;Gasperini;6.5;0;0;0;0;0;0;0;0;0
Sassuolo;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
4236;P;Muric;6;0;1;0;0;0;0;0;0;0
4374;D;Walukiewicz;5;0;0;0;0;0;0;0;0;0
5851;D;Doig;6;0;0;0;0;0;0;0;0;0
6665;D;Coulibaly W.;6*;0;0;0;0;0;0;0;0;0
6672;D;Idzes;6;0;0;0;0;0;0;0;0;0
7155;D;Muharemovic;6;0;0;0;0;0;0;0;0;0
2528;C;Matic;5.5;0;0;0;0;0;0;0;0;0
5610;C;Vranckx;5.5;0;0;0;0;0;0;1;0;0
6246;C;Lipani;6;0;0;0;0;0;0;0;0;0
6815;C;Fadera;5;0;0;0;0;0;0;0;0;0
7157;C;Iannoni;5.5;0;0;0;0;0;0;1;0;0
2038;A;Pinamonti;5.5;0;0;0;0;0;0;0;0;0
6060;A;Laurientè;6.5;0;0;0;0;0;0;0;0;0
6439;A;Cheddira;6*;0;0;0;0;0;0;0;0;0
7158;A;Moro L.;6*;0;0;0;0;0;0;0;0;0
7159;A;Skjellerup;6*;0;0;0;0;0;0;0;0;0
4864;ALL;Grosso;6;0;0;0;0;0;0;0;0;0
Torino;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
5320;P;Paleari;6;0;2;0;0;0;0;0;0;0
4385;D;Lazaro;5;0;0;0;0;0;0;0;0;0
5010;D;Ismajli;5;0;0;0;0;0;0;1;0;0
6426;D;Pedersen;6;0;0;0;0;0;0;0;0;0
6642;D;Coco;5;0;0;0;0;0;0;0;0;0
4890;C;Tameze;5;0;0;0;0;0;0;0;0;0
5687;C;Vlasic;5;0;0;0;0;0;0;1;0;0
5888;C;Casadei;5.5;0;0;0;0;0;0;0;0;0
6005;C;Ilkhan;5.5;0;0;0;0;0;0;0;0;0
6170;C;Gineitis;5.5;0;0;0;0;0;0;0;0;0
6889;C;Anjorin;6;0;0;0;0;0;0;0;0;0
6145;A;Ngonge;6;0;0;0;0;0;0;0;0;0
6646;A;Adams C.;5.5;0;0;0;0;0;0;0;0;0
6827;A;Njie;5.5;0;0;0;0;0;0;0;0;0
7183;A;Aboukhlal;6;0;0;0;0;0;0;0;0;0
2248;ALL;Baroni;5.5;0;0;0;0;0;0;0;0;0
Udinese;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
6462;P;Okoye;6.5;0;1;0;0;0;0;0;0;0
4263;D;Kabasele;5.5;0;0;0;0;0;0;0;0;0
5527;D;Zanoli;6;0;0;0;0;0;0;0;0;0
5555;D;Kamara H.;5.5;0;0;0;0;0;0;0;0;0
5820;D;Bertola;6;0;0;0;0;0;0;0;0;0
6047;D;Ehizibue;5.5;0;0;0;0;0;0;0;0;0
6485;D;Kristensen T.;5;0;0;0;0;0;0;0;0;0
6956;D;Solet;6;0;0;0;0;0;0;0;0;0
6680;C;Karlstrom;6;0;0;0;0;0;0;0;0;0
6684;C;Ekkelenkamp;5.5;0;0;0;0;0;0;0;0;0
6908;C;Atta;5.5;0;0;0;0;0;0;0;0;0
7198;C;Piotrowski;6;0;0;0;0;0;0;0;0;0
7208;C;Miller L.;5.5;0;0;0;0;0;0;0;0;0
5637;A;Davis K.;5.5;0;0;0;0;0;0;0;0;0
7161;A;Bayo V.;6*;0;0;0;0;0;0;0;0;0
7272;A;Gueye;5.5;0;0;0;0;0;0;0;0;0
6623;ALL;Runjaic;6;0;0;0;0;0;0;0;0;0
Verona;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass
511;P;Perilli;6;0;0;0;0;0;0;0;0;0
2006;D;Lirola;6;0;0;0;0;0;0;0;0;0
5532;D;Bradaric;5.5;0;0;0;0;0;0;0;0;0
5994;D;Ebosse;6;0;0;0;0;0;0;0;0;0
6992;D;Oyegoke;6*;0;0;0;0;0;0;0;0;0
7011;D;Slotsager;6.5;0;0;0;0;0;0;0;0;0
7018;D;Nelsson;6.5;0;0;0;0;0;0;0;0;0
801;C;Gagliardini;6.5;0;0;0;0;0;0;0;0;0
5688;C;Harroui;6;0;0;0;0;0;0;0;0;0
6458;C;Serdar;6;0;0;0;0;0;0;0;0;0
7028;C;Bernede;5.5;0;0;0;0;0;0;0;0;0
6159;A;Sarr A.;5.5;0;0;0;0;0;0;0;0;0
6552;A;Orban G.;5.5;0;0;0;0;0;0;0;0;0
7162;A;Giovane;6.5;0;0;0;0;0;0;0;0;0
5497;ALL;Zanetti;6;0;0;0;0;0;0;0;0;0
